accuracy	dm_source_file	leksikalnost	rec	trial_number	NoM	RT
93.96984925	31-2018A.csv	rec	BALET	37	2	641
92.14285714	33-2018A.csv	rec	BALET	37	2	569
95.40229885	34-2018B.csv	rec	BALET	37	2	575
86.66666667	35-2018A.csv	rec	BALET	37	2	1130
81.72043011	36-2018B.csv	rec	BALET	37	2	700
95.6097561	37-2018A.csv	rec	BALET	37	2	848
98.20359281	40-2018A.csv	rec	BALET	37	2	683
88.33333333	4-2018B.csv	rec	BALET	37	2	758
88.57142857	42-2018A.csv	rec	BALET	37	2	490
90.72164948	43-2018A.csv	rec	BALET	37	2	577
93.10344828	44-2018B.csv	rec	BALET	37	2	484
89.28571429	45-2018A.csv	rec	BALET	37	2	546
94.87179487	48-2018A.csv	rec	BALET	37	2	501
77.03703704	50-2018A.csv	rec	BALET	37	2	800
84.7826087	53-2018B.csv	rec	BALET	37	2	712
90.72164948	54-2018B.csv	rec	BALET	37	2	473
91.66666667	55-2018B.csv	rec	BALET	37	2	682
96.45390071	56-2018A.csv	rec	BALET	37	2	579
92	56-2018B.csv	rec	BALET	37	2	704
86.13138686	59-2018A.csv	rec	BALET	37	2	570
94.11764706	61-2018B.csv	rec	BALET	37	2	632
96.42857143	6-2018B.csv	rec	BALET	37	2	451
91.78743961	63-2018A.csv	rec	BALET	37	2	582
95.6043956	65-2018B.csv	rec	BALET	37	2	574
89.83050847	67-2018B.csv	rec	BALET	37	2	976
91.78082192	68-2018B.csv	rec	BALET	37	2	556
92.68292683	7-2018A.csv	rec	BALET	37	2	470
98.63013699	73-2018A.csv	rec	BALET	37	2	420
94.68085106	8-2018A.csv	rec	BALET	37	2	664
95	99-2018B.csv	rec	BALET	37	2	651
92.64705882	09-2018B.csv	rec	BELEG	85	2	995
86.28571429	10-2018A.csv	rec	BELEG	85	2	705
95.74468085	1-2018A.csv	rec	BELEG	85	2	571
97	12-2018B.csv	rec	BELEG	85	2	743
84.7826087	14-2018B.csv	rec	BELEG	85	2	607
91.30434783	18-2018B.csv	rec	BELEG	85	2	872
90.29126214	20-2018A.csv	rec	BELEG	85	2	836
94.52054795	21-2018A.csv	rec	BELEG	85	2	616
93.75	23-2018B.csv	rec	BELEG	85	2	630
89.43661972	26-2018A.csv	rec	BELEG	85	2	881
95.15151515	31-2018A.csv	rec	BELEG	85	2	528
92.46575342	33-2018A.csv	rec	BELEG	85	2	661
93.93939394	34-2018B.csv	rec	BELEG	85	2	582
85.37735849	35-2018A.csv	rec	BELEG	85	2	1098
81.91489362	36-2018B.csv	rec	BELEG	85	2	668
96.89440994	37-2018A.csv	rec	BELEG	85	2	791
96.46464646	40-2018A.csv	rec	BELEG	85	2	632
89.43661972	42-2018A.csv	rec	BELEG	85	2	581
90.86538462	43-2018A.csv	rec	BELEG	85	2	1088
92	44-2018B.csv	rec	BELEG	85	2	658
88.51351351	45-2018A.csv	rec	BELEG	85	2	639
95.28301887	48-2018A.csv	rec	BELEG	85	2	544
77.38693467	50-2018A.csv	rec	BELEG	85	2	700
82.40740741	53-2018B.csv	rec	BELEG	85	2	739
85.18518519	54-2018B.csv	rec	BELEG	85	2	1033
89.65517241	55-2018B.csv	rec	BELEG	85	2	701
94.81132075	56-2018A.csv	rec	BELEG	85	2	542
89.09090909	56-2018B.csv	rec	BELEG	85	2	713
86.50306748	59-2018A.csv	rec	BELEG	85	2	511
95.23809524	61-2018B.csv	rec	BELEG	85	2	702
95.83333333	6-2018B.csv	rec	BELEG	85	2	712
92.10526316	63-2018A.csv	rec	BELEG	85	2	607
94.93670886	65-2018B.csv	rec	BELEG	85	2	777
88.0733945	67-2018B.csv	rec	BELEG	85	2	638
95.23809524	68-2018B.csv	rec	BELEG	85	2	818
92.14659686	7-2018A.csv	rec	BELEG	85	2	728
99.3006993	73-2018A.csv	rec	BELEG	85	2	520
94.73684211	8-2018A.csv	rec	BELEG	85	2	640
95.41284404	99-2018B.csv	rec	BELEG	85	2	931
87.09677419	02-2018A.csv	rec	BOJA	88	1	520
92.13483146	09-2018B.csv	rec	BOJA	88	1	623
87.05882353	10-2018A.csv	rec	BOJA	88	1	552
95	1-2018A.csv	rec	BOJA	88	1	660
96.62921348	12-2018B.csv	rec	BOJA	88	1	680
93.33333333	14-2018B.csv	rec	BOJA	88	1	769
93.2735426	18-2018B.csv	rec	BOJA	88	1	602
89.0625	19-2018B.csv	rec	BOJA	88	1	515
89.09090909	20-2018A.csv	rec	BOJA	88	1	411
